id,version_status,organism_name,annotation_provider,annotation_date
GCF_901231915.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901230725.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901230775.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232745.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901230905.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232765.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901230945.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232515.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901230975.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231075.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233415.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231415.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231585.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233215.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231725.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231645.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231675.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231735.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231745.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231835.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233315.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901231995.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233565.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901228655.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901228645.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232265.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232225.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901232285.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229245.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229395.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229415.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229455.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229435.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229465.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233665.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901229545.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901233635.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
GCF_901234405.1,suppressed,Streptococcus pneumoniae,NCBI RefSeq,2019/05/23
