ko,desc
K02257,heme o synthase
K02262,cytochrome c oxidase subunit 3
K02256,cytochrome c oxidase subunit 1
K02261,cytochrome c oxidase subunit 2
K02263,cytochrome c oxidase subunit 4
K02264,cytochrome c oxidase subunit 5a
K02265,cytochrome c oxidase subunit 5b
K02266,cytochrome c oxidase subunit 6a
K02267,cytochrome c oxidase subunit 6b
K02268,cytochrome c oxidase subunit 6c
K02270,cytochrome c oxidase subunit 7a
K02271,cytochrome c oxidase subunit 7b
K02272,cytochrome c oxidase subunit 7c
K02273,cytochrome c oxidase subunit 8
K02258,cytochrome c oxidase assembly protein subunit 11
K02259,heme a synthase
K02260,cytochrome c oxidase assembly protein subunit 17
K02275,cytochrome c oxidase subunit II
K02274,cytochrome c oxidase subunit I
K02276,cytochrome c oxidase subunit III
K15408,cytochrome c oxidase subunit I+III
K02277,cytochrome c oxidase subunit IV
K02297,cytochrome o ubiquinol oxidase subunit II
K02299,cytochrome o ubiquinol oxidase subunit III
K02300,cytochrome o ubiquinol oxidase subunit IV
K02827,cytochrome aa3-600 menaquinol oxidase subunit I
K02826,cytochrome aa3-600 menaquinol oxidase subunit II
K02828,cytochrome aa3-600 menaquinol oxidase subunit III
K02829,cytochrome aa3-600 menaquinol oxidase subunit IV
K00404,cytochrome c oxidase cbb3-type subunit I
K00405,cytochrome c oxidase cbb3-type subunit II
K15862,cytochrome c oxidase cbb3-type subunit I/II
K00407,cytochrome c oxidase cbb3-type subunit IV
K00406,cytochrome c oxidase cbb3-type subunit III
K02274,cytochrome c oxidase subunit I
K16933,heme bearing subunit I of the terminal oxidase
K24009,cytochrome aa3-type oxidase subunit I
K00425,cytochrome bd ubiquinol oxidase subunit I
K02298,cytochrome o ubiquinol oxidase subunit I
