,aerobe,anaerobe,facultative,depth_m,o2_uM,h2s_uM
SRR12347146,90.44419283738503,1.5541129775821825,8.001694185032461,50.0,121.2,0.1
SRR12347145,93.29832618321245,5.752588862576906,0.9490849542102707,70.0,2.2,0.15
SRR12347139,89.18663268002403,8.294893347547466,2.51847397242795,80.0,0.5,0.1
SRR12347138,80.66351566446136,16.334816260004438,3.0016680755337517,85.0,0.3,0.15
SRR12347137,73.84109470398342,16.784769414327755,9.37413588168822,90.0,0.3,0.1
SRR12347136,56.42021171343868,24.98340806690253,18.59638021965816,95.0,0.3,0.2
SRR12347135,33.92503036012583,39.861342176763706,26.213627463109912,100.0,0.3,0.2
SRR12347134,26.87569405088725,50.202991227288365,22.92131472182392,105.0,0.3,0.85
SRR12347133,27.579125352867706,52.34042993137401,20.08044471575775,110.0,0.3,4.6
SRR12347132,19.084944742158147,63.85813073311757,17.056924524723772,130.0,0.3,14.65
SRR12347144,12.697849405346929,68.92580854083047,18.37634205382217,170.0,0.3,31.55
SRR12347143,8.409114620530767,83.04999214164177,8.540893237827015,250.0,0.3,84.65
SRR12347142,4.838378998862974,94.02633255235399,1.1352884487826171,500.0,0.3,206.3
SRR12347141,2.189357013001012,97.12260936608229,0.6880336209163297,1000.0,0.4,353.8
SRR12347140,2.3403886500322497,97.0955021287211,0.5641092212463069,2000.0,0.5,397.0
