,anaerobe_fraction,aerobe_fraction,facultative_fraction,anaerobe,aerobe,facultative,total,habitat,aerobe_anaerobe_ratio
0,0.6371308016877637,0.31645569620253167,0.046413502109704644,151.0,75.0,11.0,237,Activated sludge,0.49668874172185434
1,0.08,0.92,0.0,4.0,46.0,0.0,50,Aerobic enrichment media,11.5
2,0.1574074074074074,0.7314814814814815,0.1111111111111111,17.0,79.0,12.0,108,Agricultural soil,4.647058823529412
3,0.5639097744360902,0.3308270676691729,0.10526315789473684,75.0,44.0,14.0,133,Alkaline sediment,0.5866666666666666
4,0.125,0.4375,0.4375,2.0,7.0,7.0,16,Anaerobic bioreactor biomass,3.5
5,0.8947368421052632,0.05263157894736842,0.05263157894736842,51.0,3.0,3.0,57,Anaerobic digester digestate,0.058823529411764705
6,0.8200483091787439,0.12741545893719808,0.05253623188405797,1358.0,211.0,87.0,1656,Anaerobic digestor sludge,0.1553755522827688
7,1.0,0.0,0.0,12.0,0.0,0.0,12,Anaerobic enrichment culture,0.0
8,0.9779836015791072,0.0024293956878226543,0.01958700273307015,6441.0,16.0,129.0,6586,Animal feces,0.0024840863219996894
9,0.8070175438596491,0.12280701754385964,0.07017543859649122,46.0,7.0,4.0,57,Anoxic lake water,0.15217391304347827
10,0.6,0.16,0.24,15.0,4.0,6.0,25,"Anoxic, neutral-pH, Fe/Si-rich hot spring water",0.26666666666666666
11,0.5057471264367817,0.2413793103448276,0.25287356321839083,44.0,21.0,22.0,87,Anoxygenic and chlorotrophic,0.47727272727272724
12,0.532608695652174,0.2608695652173913,0.20652173913043478,49.0,24.0,19.0,92,Anoxygenic and chlorotrophic microbial mat,0.48979591836734687
13,0.0,0.9130434782608695,0.08695652173913043,0.0,42.0,4.0,46,Ant dump,inf
14,0.0,0.975,0.025,0.0,39.0,1.0,40,Aqueous,inf
15,0.0,0.7804878048780488,0.21951219512195122,0.0,32.0,9.0,41,Arabidopsis root,inf
16,0.5555555555555556,0.36752136752136755,0.07692307692307693,65.0,43.0,9.0,117,Arctic peat soil,0.6615384615384615
17,0.9433962264150944,0.03773584905660377,0.018867924528301886,50.0,2.0,1.0,53,Asian elephant fecal ,0.04
18,0.0,0.8571428571428571,0.14285714285714285,0.0,12.0,2.0,14,Attine ant fungus gardens,inf
19,1.0,0.0,0.0,27.0,0.0,0.0,27,Baboon gut,0.0
20,0.3333333333333333,0.5555555555555556,0.1111111111111111,6.0,10.0,2.0,18,Bio-ooze,1.6666666666666667
21,0.8913043478260869,0.07905138339920949,0.029644268774703556,451.0,40.0,15.0,506,Biogas fermentation,0.08869179600886919
22,0.9238095238095239,0.047619047619047616,0.02857142857142857,97.0,5.0,3.0,105,Bioreactor,0.05154639175257732
23,0.8503401360544217,0.04081632653061224,0.10884353741496598,125.0,6.0,16.0,147,Bioremediated contaminated groundwater,0.048
24,0.7755102040816326,0.12244897959183673,0.10204081632653061,38.0,6.0,5.0,49,Biosolids,0.15789473684210525
25,0.6363636363636364,0.36363636363636365,0.0,7.0,4.0,0.0,11,Bog forest soil,0.5714285714285715
26,1.0,0.0,0.0,13.0,0.0,0.0,13,Broiler chicken cecum,0.0
