sample_name,habitat
Human feces,Animal feces
Human fecal,Animal feces
Goate feces,Animal feces
freshwater,Freshwater
freshwater lake,Freshwater
landfill leachate,Landfill leachate
Pelagic marine,Marine
Cattle and sheep rumen,Rumen
rumen,Rumen
hot spring sediment,Hot spring sediment
wastewater,Wastewater
hydrothermal vent,Hydrothermal vent
sediment,Sediment
activated sludge,Activated sludge
Sheep rumen,Rumen
Camel rumen,Rumen
soil,Bulk soil
compost,Compost
defined medium,Defined medium
Moose rumen,Rumen
Bovine rumen,Rumen
sewage,Sewage
anaerobic enrichment culture,Anaerobic enrichment culture
Activated Sludge,Activated sludge
freshwater microbial mat,Freshwater microbial mat
seawater,Seawater
city subway,City subway
City subway metal,City subway
city subway metal,City subway
city subway wood,City subway
city subway metal/plastic,City subway
Human host-associated,Human associated
Human skin,Human associated
saline water,Saline water
Human,Human associated
hydrothermal vent microbial mat,Hydrothermal vent microbial mat
marine,Marine
watersheds,Watersheds
Fecal,Animal feces
Capybara group fecal,Animal feces
insecta,Insecta
ant dump,Ant dump
marine sediment,Marine sediment
plant litter,Plant litter
biosolids,Biosolids
ant gut,Ant gut
Human gut,Human associated
Freshwater Sediment,Freshwater sediment
Orangutan group fecal,Animal feces
feces,Animal feces
Elk feces,Animal feces
corn rhizosphere,Rhizosphere
city subway metalplastic,City subway
Deep surbsurface,Deep subsurface
deep subsurface,Deep subsurface
fungus garden,Fungus garden
surface seawater,Seawater
lab-scale EBPR bioreactor,Bioreactor
miscanthus rhizosphere,Rhizosphere
Miscanthus rhizosphere,Rhizosphere
Arabidopsis thaliana rhizosphere,Rhizosphere
Arabidopsis rhizosphere,Rhizosphere
Corn rhizosphere,Rhizosphere
switchgrass rhizosphere,Rhizosphere
Switchgrass rhizosphere,Rhizosphere
rhizosphere,Rhizosphere
Populus rhizosphere,Rhizosphere
"Corn, switchgrass and miscanthus rhizosphere",Rhizosphere
Tabebuia heterophylla rhizosphere,Rhizosphere
iron-sulfur acid spring,Iron-sulfur acid spring
deep subsurface aquifer,Deep subsurface aquifer
Rat Cecum,Rat cecum
fungus gardens,Fungus garden
bulk soil,Bulk soil
leaf surface,Leaf surface
Asian elephant fecal,Animal feces
Eastern black-and-white colobus group fecal,Animal feces
Western lowland gorilla individual fecal,Animal feces
Ring-tailed lemur group fecal,Animal feces
Orangutan individual fecal,Animal feces
Huma fecal,Animal feces
Lyns pardinus fecal,Animal feces
Human oral,Human associated
Human colon tissue,Human associated
Human bile duct,Human associated
Human lung,Human associated
Premature human infant gut,Human associated
anaerobic bioreactor biomass,Anaerobic bioreactor biomass
food waste,Food waste
sludge,Sludge
raw primary sludge,Raw sludge
active sludge,Activated sludge
Active sludge,Activated sludge
granular sludge,Granular sludge
Anaerobic biogas reactor,Biogas fermentation
Biogas fermentantion,Biogas fermentation
