,anaerobe_fraction,aerobe_fraction,facultative_fraction,anaerobe,aerobe,facultative,total,habitat,aerobe_anaerobe_ratio
0,0.7468354430379747,0.23628691983122363,0.016877637130801686,177.0,56.0,4.0,237,Activated sludge,0.3163841807909605
1,0.02,0.92,0.06,1.0,46.0,3.0,50,Aerobic enrichment media,46.0
2,0.3425925925925926,0.5462962962962963,0.1111111111111111,37.0,59.0,12.0,108,Agricultural soil,1.5945945945945945
3,0.7744360902255639,0.19548872180451127,0.03007518796992481,103.0,26.0,4.0,133,Alkaline sediment,0.2524271844660194
4,0.375,0.375,0.25,6.0,6.0,4.0,16,Anaerobic bioreactor biomass,1.0
5,0.9473684210526315,0.05263157894736842,0.0,54.0,3.0,0.0,57,Anaerobic digester digestate,0.05555555555555555
6,0.856280193236715,0.10265700483091787,0.04106280193236715,1418.0,170.0,68.0,1656,Anaerobic digestor sludge,0.11988716502115655
7,0.8333333333333334,0.08333333333333333,0.08333333333333333,10.0,1.0,1.0,12,Anaerobic enrichment culture,0.09999999999999999
8,0.9839052535681749,0.0033404190707561495,0.012754327361068934,6480.0,22.0,84.0,6586,Animal feces,0.0033950617283950617
9,0.8947368421052632,0.08771929824561403,0.017543859649122806,51.0,5.0,1.0,57,Anoxic lake water,0.09803921568627451
10,0.68,0.28,0.04,17.0,7.0,1.0,25,"Anoxic, neutral-pH, Fe/Si-rich hot spring water",0.411764705882353
11,0.5977011494252874,0.26436781609195403,0.13793103448275862,52.0,23.0,12.0,87,Anoxygenic and chlorotrophic,0.4423076923076923
12,0.6304347826086957,0.25,0.11956521739130435,58.0,23.0,11.0,92,Anoxygenic and chlorotrophic microbial mat,0.396551724137931
13,0.06521739130434782,0.8043478260869565,0.13043478260869565,3.0,37.0,6.0,46,Ant dump,12.333333333333334
14,0.475,0.475,0.05,19.0,19.0,2.0,40,Aqueous,1.0
15,0.0,0.8292682926829268,0.17073170731707318,0.0,34.0,7.0,41,Arabidopsis root,inf
16,0.6581196581196581,0.2905982905982906,0.05128205128205128,77.0,34.0,6.0,117,Arctic peat soil,0.4415584415584416
17,0.9622641509433962,0.03773584905660377,0.0,51.0,2.0,0.0,53,Asian elephant fecal ,0.0392156862745098
18,0.07142857142857142,0.7857142857142857,0.14285714285714285,1.0,11.0,2.0,14,Attine ant fungus gardens,11.0
19,1.0,0.0,0.0,27.0,0.0,0.0,27,Baboon gut,0.0
20,0.6111111111111112,0.3888888888888889,0.0,11.0,7.0,0.0,18,Bio-ooze,0.6363636363636364
21,0.9268774703557312,0.06521739130434782,0.007905138339920948,469.0,33.0,4.0,506,Biogas fermentation,0.07036247334754797
22,0.9333333333333333,0.06666666666666667,0.0,98.0,7.0,0.0,105,Bioreactor,0.07142857142857142
23,0.9319727891156463,0.04081632653061224,0.027210884353741496,137.0,6.0,4.0,147,Bioremediated contaminated groundwater,0.0437956204379562
24,0.9183673469387755,0.061224489795918366,0.02040816326530612,45.0,3.0,1.0,49,Biosolids,0.06666666666666667
25,0.8181818181818182,0.18181818181818182,0.0,9.0,2.0,0.0,11,Bog forest soil,0.2222222222222222
26,1.0,0.0,0.0,13.0,0.0,0.0,13,Broiler chicken cecum,0.0
27,0.10126582278481013,0.759493670886076,0.13924050632911392,8.0,60.0,11.0,79,Bulk soil,7.500000000000001
28,0.12,0.72,0.16,3.0,18.0,4.0,25,Cellulose-adapted,6.0
29,0.0,0.9230769230769231,0.07692307692307693,0.0,12.0,1.0,13,Cnidaria,inf
30,0.2,0.676923076923077,0.12307692307692308,13.0,44.0,8.0,65,Compost,3.3846153846153846
31,0.029411764705882353,0.7941176470588235,0.17647058823529413,1.0,27.0,6.0,34,Contaminated culture,27.0
32,0.0,0.8333333333333334,0.16666666666666666,0.0,20.0,4.0,24,Cyanobacterial,inf
33,0.12307692307692308,0.7230769230769231,0.15384615384615385,8.0,47.0,10.0,65,Deep ocean,5.874999999999999
34,0.8793103448275862,0.10344827586206896,0.017241379310344827,51.0,6.0,1.0,58,"Deep oceanic, basalt-hosted subsurface hydrothermal fluid",0.11764705882352941
35,0.5714285714285714,0.3753501400560224,0.05322128851540616,204.0,134.0,19.0,357,Deep subsurface,0.6568627450980392
36,0.8787878787878788,0.06060606060606061,0.06060606060606061,29.0,2.0,2.0,33,Deep subsurface aquifer,0.06896551724137931
37,0.9552238805970149,0.029850746268656716,0.014925373134328358,64.0,2.0,1.0,67,Defined medium,0.03125
38,0.0,1.0,0.0,0.0,12.0,0.0,12,Delisea pulchra,inf
39,0.8768115942028986,0.08695652173913043,0.036231884057971016,121.0,12.0,5.0,138,Enrichment culture,0.09917355371900827
40,0.5454545454545454,0.4090909090909091,0.045454545454545456,12.0,9.0,1.0,22,Estuarine,0.7500000000000001
41,0.43333333333333335,0.5,0.06666666666666667,13.0,15.0,2.0,30,Feedstock adapted compost,1.1538461538461537
42,0.9803921568627451,0.0,0.0196078431372549,50.0,0.0,1.0,51,Fermentation pit mud,0.0
43,0.8666666666666667,0.13333333333333333,0.0,13.0,2.0,0.0,15,Ferrous microbial mat,0.15384615384615383
44,0.8947368421052632,0.05263157894736842,0.05263157894736842,17.0,1.0,1.0,19,Ferrous microbial mat and aquatic,0.058823529411764705
45,0.9545454545454546,0.0,0.045454545454545456,21.0,0.0,1.0,22,Fracture fluid,0.0
46,0.5287846481876333,0.42643923240938164,0.04477611940298507,1488.0,1200.0,126.0,2814,Freshwater,0.8064516129032258
47,0.5384615384615384,0.4230769230769231,0.038461538461538464,14.0,11.0,1.0,26,Freshwater and sediment,0.7857142857142857
48,0.46634615384615385,0.4735576923076923,0.06009615384615385,194.0,197.0,25.0,416,Freshwater lake,1.0154639175257731
49,0.8545454545454545,0.12727272727272726,0.01818181818181818,94.0,14.0,2.0,110,Freshwater lake sediment,0.14893617021276595
50,0.7741935483870968,0.1935483870967742,0.03225806451612903,24.0,6.0,1.0,31,Freshwater lentic,0.25
51,0.47413793103448276,0.49137931034482757,0.034482758620689655,110.0,114.0,8.0,232,Freshwater microbial mat,1.0363636363636364
52,0.543859649122807,0.43859649122807015,0.017543859649122806,31.0,25.0,1.0,57,Freshwater to marine saline gradient,0.8064516129032258
53,0.05063291139240506,0.9113924050632911,0.0379746835443038,4.0,72.0,3.0,79,Glacier forefield soil,18.0
54,0.3076923076923077,0.5824175824175825,0.10989010989010989,28.0,53.0,10.0,91,Glacier valley,1.8928571428571428
55,0.9523809523809523,0.047619047619047616,0.0,20.0,1.0,0.0,21,Granular sludge,0.05
56,0.7923627684964201,0.17422434367541767,0.03341288782816229,332.0,73.0,14.0,419,Groundwater,0.21987951807228917
57,1.0,0.0,0.0,33.0,0.0,0.0,33,Hoatzin crop,0.0
58,0.8774509803921569,0.10098039215686275,0.021568627450980392,895.0,103.0,22.0,1020,Host-associated,0.11508379888268157
59,0.8913043478260869,0.09782608695652174,0.010869565217391304,82.0,9.0,1.0,92,Hot Spring,0.10975609756097562
60,0.8436482084690554,0.13192182410423453,0.024429967426710098,518.0,81.0,15.0,614,Hot spring,0.15637065637065636
61,0.84375,0.078125,0.078125,54.0,5.0,5.0,64,Hot spring microbial mat,0.09259259259259259
62,0.48148148148148145,0.4279835390946502,0.09053497942386832,117.0,104.0,22.0,243,Hot spring sediment,0.888888888888889
63,0.76,0.24,0.0,19.0,6.0,0.0,25,Hot springs sediment,0.3157894736842105
64,0.8597230583985551,0.021473008227975116,0.1188039333734698,4284.0,107.0,592.0,4983,Human associated,0.024976657329598508
65,0.9101123595505618,0.056179775280898875,0.033707865168539325,81.0,5.0,3.0,89,Hydrocarbon resource environments,0.06172839506172839
66,0.7526315789473684,0.2,0.04736842105263158,143.0,38.0,9.0,190,Hydrothermal vent,0.26573426573426573
67,1.0,0.0,0.0,29.0,0.0,0.0,29,Hydrothermal vent microbial mat,0.0
