,metagenome_id,Domain,Phylum,Class,Order,Family,Genus,Species
0,2004178001_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,2009439000_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,2010170002_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,2012990006_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,2013515001_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2013843002_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6,2013843002_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7,2013843002_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,2013843003_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,2014031004_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
10,2014031006_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,2015219000_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,2022920002_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,2022920002_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,2022920002_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,2022920003_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2022920003_4,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17,2025206003_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,2025206003_6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,2025206003_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,2025206003_8,1.0,1.0,1.0,1.0,1.0,0.0,0.0
21,2029527001_1,1.0,1.0,1.0,1.0,0.0,0.0,0.0
22,2029527003_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,2029527003_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,2029527007_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
25,2030936003_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,2030936003_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,2030936005_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,2032320001_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,2032320001_2,1.0,1.0,1.0,1.0,1.0,0.0,0.0
30,2032320001_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
31,2032320007_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,2032320008_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,2035918000_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,2035918003_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,2035918003_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,2035918003_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,2035918003_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,2044078007_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39,2044078007_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,2044078007_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,2049941000_33,1.0,1.0,1.0,1.0,1.0,1.0,1.0
42,2049941000_36,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,2049941000_40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,2049941000_44,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,2049941000_46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
46,2049941000_57,1.0,1.0,1.0,1.0,1.0,0.0,0.0
47,2049941000_65,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,2049941000_68,1.0,1.0,1.0,1.0,1.0,1.0,0.0
49,2049941000_73,1.0,1.0,1.0,1.0,1.0,1.0,0.0
50,2049941000_74,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,2049941000_82,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,2049941000_85,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,2049941002_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,2051774008_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
55,2051774008_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,2058419001_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
57,2061766007_100,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,2061766007_104,1.0,1.0,1.0,1.0,1.0,0.0,0.0
59,2061766007_107,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,2061766007_111,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,2061766007_114,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,2061766007_118,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,2061766007_119,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,2061766007_124,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,2061766007_144,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,2061766007_347,1.0,1.0,1.0,1.0,1.0,0.0,0.0
67,2061766007_49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
68,2061766007_55,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,2061766007_57,1.0,1.0,1.0,1.0,1.0,1.0,1.0
70,2061766007_65,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,2061766007_67,1.0,1.0,1.0,1.0,1.0,0.0,0.0
72,2061766007_68,1.0,1.0,1.0,1.0,1.0,1.0,1.0
73,2061766007_77,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,2061766007_78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,2061766007_81,1.0,1.0,1.0,1.0,1.0,0.0,0.0
76,2061766007_87,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,2061766007_88,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,2061766007_92,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,2061766007_94,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,2061766007_97,1.0,1.0,1.0,1.0,1.0,1.0,0.0
81,2061766007_98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,2065487013_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,2065487014_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,2077657014_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,2077657019_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,2077657023_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,2077657023_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,2077657023_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,2077657024_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,2077657024_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,2077657024_5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
92,2081372013_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
93,2081372013_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
94,2081372013_5,1.0,1.0,1.0,0.0,0.0,0.0,0.0
95,2084038008_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
96,2084038008_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
97,2084038013_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,2084038021_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
99,2084038021_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,2100351003_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
101,2100351003_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
102,2100351010_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
103,2100351010_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
104,2119805007_4,1.0,1.0,1.0,1.0,0.0,0.0,0.0
105,2119805007_8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
106,2119805007_9,1.0,1.0,1.0,0.0,0.0,0.0,0.0
107,2124908030_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
108,2124908038_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
109,2124908038_8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
110,2124908038_9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
111,2140918001_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
112,2140918001_5,1.0,1.0,1.0,1.0,0.0,0.0,0.0
113,2140918001_7,1.0,1.0,1.0,1.0,1.0,0.0,0.0
114,2140918006_1,1.0,1.0,1.0,1.0,1.0,0.0,0.0
115,2140918008_12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
116,2140918008_22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
117,2140918008_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
118,2140918012_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
119,2140918017_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
120,2140918017_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
121,2140918017_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
122,2140918017_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
123,2140918027_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
124,2140918027_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
125,2140918027_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,2140918027_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
127,2156126000_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
128,2156126001_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
129,2156126001_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,2156126005_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,2162886008_10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
132,2162886008_11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
133,2162886008_14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
134,2162886008_15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
135,2162886008_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,2162886008_3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
137,2162886008_7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
138,2166559024_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,2166559024_6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
140,2166559024_7,1.0,1.0,1.0,1.0,1.0,0.0,0.0
141,2166559024_8,1.0,1.0,1.0,1.0,1.0,0.0,0.0
142,2189573022_11,1.0,1.0,1.0,1.0,1.0,0.0,0.0
143,2189573022_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
144,2189573022_6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
145,2189573022_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
146,2189573022_9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
147,2199034002_1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
148,2199034002_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
149,2199034002_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,2199034002_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151,2199034002_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
152,2199352004_4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
153,2199352010_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
154,2199352030_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
155,2199352035_2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
156,2199352035_5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
157,2199352035_6,1.0,1.0,1.0,1.0,0.0,0.0,0.0
158,2199352035_7,1.0,1.0,1.0,1.0,0.0,0.0,0.0
