contig_size,prediction,contig_id
1000,anaerobe,GCA_000093085_1
1000,anaerobe,GCA_000093085_10
1000,anaerobe,GCA_000093085_100
1000,anaerobe,GCA_000093085_1000
1000,facultative,GCA_000093085_10000
1000,aerobe,GCA_000093085_10001
1000,facultative,GCA_000093085_10002
1000,facultative,GCA_000093085_10003
1000,facultative,GCA_000093085_10004
1000,aerobe,GCA_000093085_10005
1000,facultative,GCA_000093085_10006
1000,anaerobe,GCA_000093085_10007
1000,facultative,GCA_000093085_10008
1000,anaerobe,GCA_000093085_10009
1000,anaerobe,GCA_000093085_1001
1000,aerobe,GCA_000093085_10010
1000,facultative,GCA_000093085_10011
1000,anaerobe,GCA_000093085_10012
1000,anaerobe,GCA_000093085_10014
1000,facultative,GCA_000093085_10015
1000,aerobe,GCA_000093085_10016
1000,facultative,GCA_000093085_10017
1000,facultative,GCA_000093085_10018
1000,anaerobe,GCA_000093085_10019
1000,facultative,GCA_000093085_1002
1000,aerobe,GCA_000093085_10020
1000,facultative,GCA_000093085_10021
1000,aerobe,GCA_000093085_10022
1000,facultative,GCA_000093085_10023
1000,anaerobe,GCA_000093085_10024
1000,aerobe,GCA_000093085_10025
1000,aerobe,GCA_000093085_10026
1000,aerobe,GCA_000093085_10027
1000,aerobe,GCA_000093085_10028
1000,anaerobe,GCA_000093085_10029
1000,facultative,GCA_000093085_1003
1000,aerobe,GCA_000093085_10030
1000,anaerobe,GCA_000093085_10031
1000,aerobe,GCA_000093085_10032
1000,aerobe,GCA_000093085_10033
1000,facultative,GCA_000093085_10034
1000,aerobe,GCA_000093085_10035
1000,anaerobe,GCA_000093085_10036
1000,aerobe,GCA_000093085_10037
1000,aerobe,GCA_000093085_10038
1000,facultative,GCA_000093085_10039
1000,anaerobe,GCA_000093085_1004
1000,facultative,GCA_000093085_10040
1000,anaerobe,GCA_000093085_10041
1000,facultative,GCA_000093085_10042
1000,facultative,GCA_000093085_10043
1000,facultative,GCA_000093085_10044
1000,facultative,GCA_000093085_10045
1000,aerobe,GCA_000093085_10046
1000,aerobe,GCA_000093085_10047
1000,facultative,GCA_000093085_10048
1000,aerobe,GCA_000093085_10049
1000,facultative,GCA_000093085_1005
1000,aerobe,GCA_000093085_10050
1000,aerobe,GCA_000093085_10051
1000,anaerobe,GCA_000093085_10052
1000,anaerobe,GCA_000093085_10053
1000,aerobe,GCA_000093085_10054
1000,facultative,GCA_000093085_10055
1000,facultative,GCA_000093085_10056
1000,aerobe,GCA_000093085_10057
1000,aerobe,GCA_000093085_10058
1000,anaerobe,GCA_000093085_10059
1000,facultative,GCA_000093085_1006
1000,anaerobe,GCA_000093085_10060
1000,facultative,GCA_000093085_10061
1000,facultative,GCA_000093085_10062
1000,anaerobe,GCA_000093085_10063
1000,anaerobe,GCA_000093085_10064
1000,anaerobe,GCA_000093085_10065
1000,facultative,GCA_000093085_10066
1000,facultative,GCA_000093085_10067
1000,facultative,GCA_000093085_10068
1000,facultative,GCA_000093085_10069
1000,facultative,GCA_000093085_1007
1000,anaerobe,GCA_000093085_10070
1000,facultative,GCA_000093085_10071
1000,aerobe,GCA_000093085_10072
1000,aerobe,GCA_000093085_10073
1000,facultative,GCA_000093085_10074
1000,facultative,GCA_000093085_10075
1000,anaerobe,GCA_000093085_10076
1000,facultative,GCA_000093085_10077
1000,aerobe,GCA_000093085_10078
1000,anaerobe,GCA_000093085_10079
1000,facultative,GCA_000093085_1008
1000,facultative,GCA_000093085_10080
1000,facultative,GCA_000093085_10081
1000,aerobe,GCA_000093085_10082
1000,facultative,GCA_000093085_10083
1000,facultative,GCA_000093085_10084
1000,anaerobe,GCA_000093085_10085
1000,facultative,GCA_000093085_10086
1000,aerobe,GCA_000093085_10087
1000,anaerobe,GCA_000093085_10088
1000,anaerobe,GCA_000093085_10089
1000,facultative,GCA_000093085_1009
1000,facultative,GCA_000093085_10090
1000,anaerobe,GCA_000093085_10091
1000,facultative,GCA_000093085_10092
1000,facultative,GCA_000093085_10093
1000,aerobe,GCA_000093085_10094
1000,aerobe,GCA_000093085_10095
1000,aerobe,GCA_000093085_10096
1000,anaerobe,GCA_000093085_10097
1000,aerobe,GCA_000093085_10098
1000,aerobe,GCA_000093085_10099
1000,anaerobe,GCA_000093085_101
1000,facultative,GCA_000093085_1010
1000,aerobe,GCA_000093085_10100
1000,aerobe,GCA_000093085_10101
1000,facultative,GCA_000093085_10102
1000,facultative,GCA_000093085_10103
1000,facultative,GCA_000093085_10104
1000,aerobe,GCA_000093085_10105
1000,facultative,GCA_000093085_10106
1000,aerobe,GCA_000093085_10107
1000,facultative,GCA_000093085_10108
1000,anaerobe,GCA_000093085_10109
1000,facultative,GCA_000093085_1011
1000,facultative,GCA_000093085_10110
1000,facultative,GCA_000093085_10111
1000,facultative,GCA_000093085_10112
1000,anaerobe,GCA_000093085_10113
1000,facultative,GCA_000093085_10114
1000,facultative,GCA_000093085_10115
1000,anaerobe,GCA_000093085_10116
1000,facultative,GCA_000093085_10117
1000,anaerobe,GCA_000093085_10118
1000,facultative,GCA_000093085_10119
1000,anaerobe,GCA_000093085_1012
1000,anaerobe,GCA_000093085_10120
1000,aerobe,GCA_000093085_10121
1000,facultative,GCA_000093085_10122
1000,facultative,GCA_000093085_10123
1000,facultative,GCA_000093085_10124
1000,facultative,GCA_000093085_10125
1000,facultative,GCA_000093085_10126
1000,facultative,GCA_000093085_10127
1000,anaerobe,GCA_000093085_10128
1000,facultative,GCA_000093085_10129
1000,anaerobe,GCA_000093085_1013
1000,anaerobe,GCA_000093085_10130
1000,aerobe,GCA_000093085_10131
1000,anaerobe,GCA_000093085_10132
1000,anaerobe,GCA_000093085_10133
1000,anaerobe,GCA_000093085_10134
1000,facultative,GCA_000093085_10135
1000,anaerobe,GCA_000093085_10136
1000,anaerobe,GCA_000093085_10137
1000,facultative,GCA_000093085_10138
1000,facultative,GCA_000093085_10139
1000,aerobe,GCA_000093085_1014
1000,aerobe,GCA_000093085_10140
1000,facultative,GCA_000093085_10141
1000,facultative,GCA_000093085_10142
1000,aerobe,GCA_000093085_10143
1000,facultative,GCA_000093085_10144
1000,facultative,GCA_000093085_10145
1000,facultative,GCA_000093085_10146
1000,aerobe,GCA_000093085_10147
1000,facultative,GCA_000093085_10148
1000,aerobe,GCA_000093085_10149
1000,aerobe,GCA_000093085_1015
1000,facultative,GCA_000093085_10150
1000,anaerobe,GCA_000093085_10151
1000,facultative,GCA_000093085_10152
1000,aerobe,GCA_000093085_10153
1000,anaerobe,GCA_000093085_10154
1000,facultative,GCA_000093085_10155
1000,facultative,GCA_000093085_10156
1000,facultative,GCA_000093085_10157
1000,anaerobe,GCA_000093085_10158
1000,facultative,GCA_000093085_10159
1000,facultative,GCA_000093085_1016
1000,facultative,GCA_000093085_10160
1000,facultative,GCA_000093085_10161
1000,facultative,GCA_000093085_10162
1000,anaerobe,GCA_000093085_10163
1000,anaerobe,GCA_000093085_10164
1000,facultative,GCA_000093085_10165
1000,aerobe,GCA_000093085_10166
1000,anaerobe,GCA_000093085_10167
1000,aerobe,GCA_000093085_10168
1000,aerobe,GCA_000093085_10169
1000,anaerobe,GCA_000093085_1017
1000,facultative,GCA_000093085_10170
1000,facultative,GCA_000093085_10171
1000,facultative,GCA_000093085_10172
1000,facultative,GCA_000093085_10173
1000,aerobe,GCA_000093085_10174
1000,facultative,GCA_000093085_10175
1000,aerobe,GCA_000093085_10176
1000,anaerobe,GCA_000093085_10177
1000,aerobe,GCA_000093085_10178
1000,facultative,GCA_000093085_10179
1000,anaerobe,GCA_000093085_1018
1000,anaerobe,GCA_000093085_10180
1000,aerobe,GCA_000093085_10181
1000,anaerobe,GCA_000093085_10182
1000,facultative,GCA_000093085_10183
1000,facultative,GCA_000093085_10184
1000,aerobe,GCA_000093085_10185
1000,aerobe,GCA_000093085_10186
1000,aerobe,GCA_000093085_10187
1000,facultative,GCA_000093085_10188
1000,anaerobe,GCA_000093085_10189
1000,facultative,GCA_000093085_1019
1000,facultative,GCA_000093085_10190
1000,aerobe,GCA_000093085_10191
1000,anaerobe,GCA_000093085_10192
1000,aerobe,GCA_000093085_10193
1000,facultative,GCA_000093085_10194
1000,facultative,GCA_000093085_10195
1000,anaerobe,GCA_000093085_10196
1000,aerobe,GCA_000093085_10197
1000,anaerobe,GCA_000093085_10198
1000,anaerobe,GCA_000093085_10199
1000,anaerobe,GCA_000093085_102
1000,aerobe,GCA_000093085_1020
1000,facultative,GCA_000093085_10200
1000,facultative,GCA_000093085_10201
1000,facultative,GCA_000093085_10202
