contig_size,prediction,contig_id
1000,facultative,GCF_016028255_1
1000,anaerobe,GCF_016028255_10
1000,aerobe,GCF_016028255_100
1000,aerobe,GCF_016028255_1000
1000,facultative,GCF_016028255_1001
1000,anaerobe,GCF_016028255_1002
1000,anaerobe,GCF_016028255_1003
1000,anaerobe,GCF_016028255_1004
1000,anaerobe,GCF_016028255_1005
1000,facultative,GCF_016028255_1006
1000,anaerobe,GCF_016028255_1007
1000,anaerobe,GCF_016028255_1008
1000,anaerobe,GCF_016028255_1009
1000,aerobe,GCF_016028255_101
1000,anaerobe,GCF_016028255_1010
1000,facultative,GCF_016028255_1011
1000,facultative,GCF_016028255_1012
1000,facultative,GCF_016028255_1013
1000,facultative,GCF_016028255_1014
1000,anaerobe,GCF_016028255_1015
1000,anaerobe,GCF_016028255_1016
1000,aerobe,GCF_016028255_1017
1000,facultative,GCF_016028255_1018
1000,anaerobe,GCF_016028255_1019
1000,aerobe,GCF_016028255_102
1000,facultative,GCF_016028255_1020
1000,aerobe,GCF_016028255_1021
1000,anaerobe,GCF_016028255_1022
1000,facultative,GCF_016028255_1023
1000,anaerobe,GCF_016028255_1024
1000,aerobe,GCF_016028255_1025
1000,facultative,GCF_016028255_1026
1000,anaerobe,GCF_016028255_1027
1000,aerobe,GCF_016028255_1028
1000,facultative,GCF_016028255_1029
1000,aerobe,GCF_016028255_103
1000,facultative,GCF_016028255_1030
1000,facultative,GCF_016028255_1031
1000,facultative,GCF_016028255_1032
1000,aerobe,GCF_016028255_1033
1000,anaerobe,GCF_016028255_1034
1000,facultative,GCF_016028255_1035
1000,facultative,GCF_016028255_1036
1000,anaerobe,GCF_016028255_1037
1000,aerobe,GCF_016028255_1038
1000,facultative,GCF_016028255_1039
1000,anaerobe,GCF_016028255_104
1000,aerobe,GCF_016028255_1040
1000,facultative,GCF_016028255_1041
1000,anaerobe,GCF_016028255_1042
1000,aerobe,GCF_016028255_1043
1000,facultative,GCF_016028255_1044
1000,facultative,GCF_016028255_1045
1000,aerobe,GCF_016028255_1046
1000,facultative,GCF_016028255_1047
1000,aerobe,GCF_016028255_1048
1000,facultative,GCF_016028255_1049
1000,anaerobe,GCF_016028255_105
1000,aerobe,GCF_016028255_1050
1000,aerobe,GCF_016028255_1051
1000,aerobe,GCF_016028255_1052
1000,aerobe,GCF_016028255_1053
1000,anaerobe,GCF_016028255_1054
1000,anaerobe,GCF_016028255_1055
1000,aerobe,GCF_016028255_1056
1000,anaerobe,GCF_016028255_1057
1000,facultative,GCF_016028255_1058
1000,anaerobe,GCF_016028255_1059
1000,anaerobe,GCF_016028255_106
1000,facultative,GCF_016028255_1060
1000,anaerobe,GCF_016028255_1061
1000,anaerobe,GCF_016028255_1062
1000,anaerobe,GCF_016028255_1063
1000,anaerobe,GCF_016028255_1064
1000,anaerobe,GCF_016028255_1065
1000,aerobe,GCF_016028255_1066
1000,aerobe,GCF_016028255_1067
1000,aerobe,GCF_016028255_1068
1000,anaerobe,GCF_016028255_1069
1000,aerobe,GCF_016028255_107
1000,aerobe,GCF_016028255_1070
1000,facultative,GCF_016028255_1071
1000,facultative,GCF_016028255_1072
1000,anaerobe,GCF_016028255_1073
1000,anaerobe,GCF_016028255_1074
1000,facultative,GCF_016028255_1075
1000,anaerobe,GCF_016028255_1076
1000,anaerobe,GCF_016028255_1077
1000,facultative,GCF_016028255_1078
1000,aerobe,GCF_016028255_1079
1000,aerobe,GCF_016028255_108
1000,anaerobe,GCF_016028255_1080
1000,aerobe,GCF_016028255_1081
1000,anaerobe,GCF_016028255_1082
1000,aerobe,GCF_016028255_1083
1000,aerobe,GCF_016028255_1084
1000,anaerobe,GCF_016028255_1086
1000,facultative,GCF_016028255_1087
1000,facultative,GCF_016028255_1088
1000,aerobe,GCF_016028255_1089
1000,facultative,GCF_016028255_109
1000,facultative,GCF_016028255_1090
1000,facultative,GCF_016028255_1091
1000,anaerobe,GCF_016028255_1092
1000,facultative,GCF_016028255_1093
1000,facultative,GCF_016028255_1094
1000,facultative,GCF_016028255_1095
1000,facultative,GCF_016028255_1096
1000,facultative,GCF_016028255_1097
1000,anaerobe,GCF_016028255_1098
1000,aerobe,GCF_016028255_1099
1000,aerobe,GCF_016028255_11
1000,anaerobe,GCF_016028255_110
1000,facultative,GCF_016028255_1100
1000,anaerobe,GCF_016028255_1101
1000,facultative,GCF_016028255_1102
1000,facultative,GCF_016028255_1103
1000,aerobe,GCF_016028255_1104
1000,facultative,GCF_016028255_1105
1000,facultative,GCF_016028255_1106
1000,anaerobe,GCF_016028255_1107
1000,aerobe,GCF_016028255_1108
1000,facultative,GCF_016028255_1109
1000,anaerobe,GCF_016028255_1110
1000,facultative,GCF_016028255_1112
1000,anaerobe,GCF_016028255_1113
1000,anaerobe,GCF_016028255_1114
1000,anaerobe,GCF_016028255_1115
1000,aerobe,GCF_016028255_1116
1000,aerobe,GCF_016028255_1117
1000,aerobe,GCF_016028255_1118
1000,facultative,GCF_016028255_1119
1000,anaerobe,GCF_016028255_112
1000,anaerobe,GCF_016028255_1120
1000,facultative,GCF_016028255_1121
1000,anaerobe,GCF_016028255_1122
1000,facultative,GCF_016028255_1123
1000,facultative,GCF_016028255_1124
1000,facultative,GCF_016028255_1125
1000,facultative,GCF_016028255_1126
1000,aerobe,GCF_016028255_1127
1000,anaerobe,GCF_016028255_1128
1000,anaerobe,GCF_016028255_1129
1000,anaerobe,GCF_016028255_113
1000,anaerobe,GCF_016028255_1130
1000,facultative,GCF_016028255_1131
1000,facultative,GCF_016028255_1132
1000,aerobe,GCF_016028255_1133
1000,aerobe,GCF_016028255_1134
1000,anaerobe,GCF_016028255_1135
1000,aerobe,GCF_016028255_1136
1000,anaerobe,GCF_016028255_1137
1000,anaerobe,GCF_016028255_1138
1000,facultative,GCF_016028255_1139
1000,facultative,GCF_016028255_114
1000,aerobe,GCF_016028255_1140
1000,facultative,GCF_016028255_1141
1000,aerobe,GCF_016028255_1142
1000,aerobe,GCF_016028255_1143
1000,facultative,GCF_016028255_1144
1000,aerobe,GCF_016028255_1145
1000,facultative,GCF_016028255_1146
1000,aerobe,GCF_016028255_1147
1000,aerobe,GCF_016028255_1148
1000,aerobe,GCF_016028255_1149
1000,anaerobe,GCF_016028255_115
1000,facultative,GCF_016028255_1150
1000,aerobe,GCF_016028255_1151
1000,facultative,GCF_016028255_1152
1000,anaerobe,GCF_016028255_1153
1000,facultative,GCF_016028255_1154
1000,anaerobe,GCF_016028255_1155
1000,facultative,GCF_016028255_1156
1000,anaerobe,GCF_016028255_1157
1000,anaerobe,GCF_016028255_1158
1000,anaerobe,GCF_016028255_1159
1000,aerobe,GCF_016028255_116
1000,anaerobe,GCF_016028255_1160
1000,anaerobe,GCF_016028255_1161
1000,aerobe,GCF_016028255_1162
1000,anaerobe,GCF_016028255_1163
1000,aerobe,GCF_016028255_1164
1000,aerobe,GCF_016028255_1165
1000,facultative,GCF_016028255_1166
1000,aerobe,GCF_016028255_1167
1000,facultative,GCF_016028255_1168
1000,aerobe,GCF_016028255_1169
1000,anaerobe,GCF_016028255_117
1000,aerobe,GCF_016028255_1170
1000,aerobe,GCF_016028255_1171
1000,anaerobe,GCF_016028255_1172
1000,aerobe,GCF_016028255_1173
1000,anaerobe,GCF_016028255_1174
1000,anaerobe,GCF_016028255_1175
1000,aerobe,GCF_016028255_1176
1000,facultative,GCF_016028255_1177
1000,facultative,GCF_016028255_1178
1000,facultative,GCF_016028255_1179
1000,aerobe,GCF_016028255_118
1000,anaerobe,GCF_016028255_1180
1000,anaerobe,GCF_016028255_1181
1000,anaerobe,GCF_016028255_1182
1000,anaerobe,GCF_016028255_1183
1000,anaerobe,GCF_016028255_1184
