,prediction
3300014208_43,facultative
3300028561_83,facultative
3300007079_3,facultative
3300029732_11,facultative
3300029424_9,facultative
3300021376_32,facultative
3300025229_7,facultative
3300001262_7,facultative
3300007966_8,facultative
3300028398_49,facultative
3300020193_41,facultative
3300009773_50,facultative
3300029000_7,facultative
3300025684_33,facultative
3300029404_27,facultative
3300008364_13,facultative
3300027594_10,facultative
3300014927_6,facultative
3300008278_5,facultative
3300026263_19,facultative
3300014502_33,facultative
3300029249_20,facultative
3300009540_28,facultative
3300013094_42,facultative
3300006250_9,facultative
3300006259_10,facultative
3300025223_2,facultative
3300027835_112,facultative
3300021306_37,facultative
3300009503_46,facultative
3300006320_7,facultative
3300025778_1,facultative
3300029466_9,facultative
3300010277_43,facultative
3300029033_2,facultative
3300002821_26,facultative
3300029706_24,facultative
3300006524_11,facultative
3300021255_102,facultative
3300014326_8,facultative
3300029357_8,facultative
3300029393_13,facultative
3300029297_21,facultative
3300011942_1,facultative
3300026261_18,facultative
3300027187_1,facultative
3300012983_58,facultative
3300029821_36,facultative
3300011140_3,facultative
3300021285_6,facultative
3300007320_10,facultative
3300028569_51,facultative
3300013133_23,facultative
3300003111_3,facultative
3300014535_5,facultative
3300029538_19,facultative
3300006476_3,facultative
3300029551_19,facultative
3300028985_6,facultative
3300006517_6,facultative
3300006028_15,facultative
3300029580_12,facultative
3300017418_9,facultative
3300020439_15,facultative
3300025832_13,facultative
3300006226_89,facultative
3300025394_7,facultative
3300025571_12,facultative
3300027026_15,facultative
3300007119_21,facultative
3300012824_10,facultative
3300020139_34,facultative
3300029845_26,facultative
3300025624_3,facultative
3300029494_15,facultative
3300027900_75,facultative
3300028593_15,facultative
3300021255_53,facultative
3300012936_24,facultative
3300001990_7,facultative
3300029352_10,facultative
3300027499_7,facultative
3300029231_18,facultative
3300020477_58,facultative
3300014057_18,facultative
3300029584_19,facultative
3300021419_21,facultative
3300017467_11,facultative
3300006746_5,facultative
3300007353_16,facultative
3300025832_30,facultative
3300005256_2,facultative
3300029415_11,facultative
3300025300_2,facultative
3300013137_55,facultative
3300011013_18,facultative
3300027515_14,facultative
3300020197_91,facultative
3300027832_142,facultative
3300028175_10,facultative
3300026290_9,facultative
3300008619_2,facultative
3300029011_3,facultative
3300029254_29,facultative
3300029339_33,facultative
3300012128_1,facultative
3300029495_15,facultative
3300028561_61,facultative
3300014534_5,facultative
3300025632_22,facultative
3300008283_7,facultative
3300023225_4,facultative
3300029119_24,facultative
3300020056_50,facultative
3300020220_99,facultative
3300011013_16,facultative
3300025699_33,facultative
3300012016_18,facultative
3300015202_3,facultative
3300012178_4,facultative
3300013137_195,facultative
3300022661_97,facultative
2162886008_14,facultative
3300009029_20,facultative
3300007125_27,facultative
3300006502_10,facultative
3300029382_26,facultative
3300017426_22,facultative
3300029899_15,facultative
3300020154_21,facultative
3300012330_3,facultative
3300008081_27,facultative
3300020109_55,facultative
3300027419_47,facultative
3300025961_39,facultative
3300029852_12,facultative
3300007222_27,facultative
2061766007_347,anaerobe
3300029204_17,facultative
3300011208_2,facultative
3300020152_7,facultative
3300005056_15,facultative
3300027784_34,facultative
3300029129_10,facultative
3300025118_7,facultative
3300020253_2,facultative
3300011867_1,facultative
3300021318_13,facultative
3300027232_5,facultative
3300009503_130,facultative
3300029042_10,facultative
3300012573_5,facultative
3300018878_178,facultative
3300011847_3,facultative
3300026985_4,facultative
3300008144_43,facultative
3300022661_134,facultative
3300024257_15,facultative
3300011786_2,facultative
3300029336_13,facultative
3300025661_25,anaerobe
3300012527_13,facultative
3300025613_27,facultative
3300014205_105,facultative
3300026272_7,facultative
3300007722_68,facultative
3300005689_8,facultative
3300025525_18,facultative
3300011913_3,facultative
3300008139_5,facultative
3300001683_46,aerobe
3300020423_58,facultative
3300010269_21,anaerobe
3300029815_33,facultative
3300025249_7,facultative
3300010294_6,facultative
3300029507_16,facultative
3300013382_8,facultative
3300025858_42,facultative
3300029106_9,facultative
3300027730_28,facultative
3300023108_25,facultative
3300029050_10,facultative
3300027782_20,facultative
3300029420_12,facultative
3300025903_10,facultative
3300029379_37,facultative
3300011508_2,facultative
3300006322_24,facultative
3300029405_13,facultative
3300028624_23,facultative
3300027970_27,facultative
3300025570_5,facultative
3300013014_45,facultative
3300005279_12,facultative
3300018037_8,facultative
3300007305_11,facultative
3300008638_26,facultative
3300027749_29,facultative
3300011881_2,facultative
3300025546_49,facultative
3300014516_4,facultative
3300014523_2,facultative
3300029435_26,facultative
3300029743_19,facultative
3300027419_26,anaerobe
3300029739_14,facultative
3300007796_3,facultative
3300020344_25,facultative
3300008640_41,anaerobe
3300011232_8,facultative
3300013005_106,facultative
3300011382_3,facultative
3300010375_35,facultative
3300029872_12,facultative
3300029845_16,facultative
3300012854_6,facultative
3300029620_25,facultative
3300020372_5,facultative
3300020344_18,aerobe
3300011249_2,facultative
3300011196_1,facultative
3300029213_16,facultative
3300027839_61,facultative
3300028397_4,facultative
3300021843_70,facultative
3300029558_13,facultative
3300019372_8,facultative
3300006477_13,facultative
3300020731_9,facultative
3300029343_39,facultative
3300025649_20,facultative
3300010274_12,facultative
3300026906_10,facultative
3300008326_13,facultative
3300029595_13,facultative
3300007208_12,facultative
3300010396_63,facultative
3300014540_5,facultative
3300021326_27,facultative
3300008302_2,facultative
3300029377_13,facultative
3300014751_5,facultative
3300029451_8,facultative
3300026299_15,facultative
3300027618_3,facultative
3300007797_11,facultative
3300028602_56,facultative
3300025838_30,facultative
3300018065_39,facultative
3300027276_11,facultative
3300000171_2,anaerobe
3300026272_3,facultative
3300007793_8,facultative
3300014625_2,facultative
3300025601_3,facultative
3300011867_4,facultative
3300025442_9,facultative
3300017991_47,facultative
3300029421_11,facultative
3300026509_30,facultative
3300020406_23,facultative
3300025629_45,facultative
3300007105_4,facultative
3300008515_16,facultative
3300025452_20,facultative
3300006038_23,facultative
3300026874_6,facultative
3300028283_27,facultative
3300025961_23,facultative
3300025596_16,facultative
3300013133_141,facultative
3300027850_22,facultative
3300020463_36,facultative
3300011719_1,facultative
3300007566_25,facultative
3300009381_8,facultative
3300012826_9,facultative
3300010373_19,facultative
3300025682_87,facultative
3300018016_11,facultative
3300025230_1,facultative
3300008283_26,facultative
3300024935_7,facultative
3300025244_5,facultative
3300002308_9,facultative
3300000266_3,facultative
3300007316_37,facultative
3300025847_49,facultative
3300009503_170,facultative
3300025485_1,facultative
3300025632_6,facultative
3300029842_27,facultative
3300018910_10,facultative
3300008505_15,facultative
3300014057_19,facultative
3300027351_8,facultative
3300028567_66,facultative
3300025897_29,facultative
3300029707_14,facultative
3300001915_4,facultative
3300029362_9,facultative
3300023184_27,facultative
3300029668_10,facultative
3300027328_18,facultative
3300020219_20,facultative
3300026016_2,facultative
3300002702_10,facultative
3300029444_34,facultative
3300014208_73,facultative
3300020398_8,facultative
3300029771_10,facultative
3300014060_72,facultative
3300012082_13,facultative
3300029734_24,facultative
3300025830_23,facultative
