contig_size,prediction,contig_id
1000,anaerobe,GCF_000237085_1
1000,anaerobe,GCF_000237085_10
1000,facultative,GCF_000237085_100
1000,anaerobe,GCF_000237085_1000
1000,anaerobe,GCF_000237085_10000
1000,anaerobe,GCF_000237085_10001
1000,aerobe,GCF_000237085_10002
1000,anaerobe,GCF_000237085_10003
1000,anaerobe,GCF_000237085_10004
1000,aerobe,GCF_000237085_10005
1000,facultative,GCF_000237085_10006
1000,facultative,GCF_000237085_10007
1000,anaerobe,GCF_000237085_10008
1000,anaerobe,GCF_000237085_10009
1000,anaerobe,GCF_000237085_1001
1000,anaerobe,GCF_000237085_10010
1000,anaerobe,GCF_000237085_10011
1000,anaerobe,GCF_000237085_10012
1000,anaerobe,GCF_000237085_10013
1000,anaerobe,GCF_000237085_10014
1000,anaerobe,GCF_000237085_10015
1000,anaerobe,GCF_000237085_10016
1000,anaerobe,GCF_000237085_10017
1000,anaerobe,GCF_000237085_10018
1000,anaerobe,GCF_000237085_10019
1000,anaerobe,GCF_000237085_1002
1000,facultative,GCF_000237085_10020
1000,anaerobe,GCF_000237085_10021
1000,anaerobe,GCF_000237085_10022
1000,anaerobe,GCF_000237085_10023
1000,anaerobe,GCF_000237085_10024
1000,anaerobe,GCF_000237085_10025
1000,facultative,GCF_000237085_10026
1000,anaerobe,GCF_000237085_10027
1000,anaerobe,GCF_000237085_10028
1000,anaerobe,GCF_000237085_10029
1000,anaerobe,GCF_000237085_1003
1000,anaerobe,GCF_000237085_10030
1000,anaerobe,GCF_000237085_10031
1000,anaerobe,GCF_000237085_10032
1000,anaerobe,GCF_000237085_10033
1000,anaerobe,GCF_000237085_10034
1000,anaerobe,GCF_000237085_10035
1000,anaerobe,GCF_000237085_10036
1000,anaerobe,GCF_000237085_10037
1000,anaerobe,GCF_000237085_10038
1000,anaerobe,GCF_000237085_10039
1000,anaerobe,GCF_000237085_1004
1000,anaerobe,GCF_000237085_10040
1000,anaerobe,GCF_000237085_10041
1000,anaerobe,GCF_000237085_10042
1000,anaerobe,GCF_000237085_10043
1000,anaerobe,GCF_000237085_10044
1000,facultative,GCF_000237085_10045
1000,aerobe,GCF_000237085_10046
1000,anaerobe,GCF_000237085_10047
1000,anaerobe,GCF_000237085_10048
1000,anaerobe,GCF_000237085_10049
1000,facultative,GCF_000237085_1005
1000,anaerobe,GCF_000237085_10050
1000,anaerobe,GCF_000237085_10051
1000,anaerobe,GCF_000237085_10052
1000,anaerobe,GCF_000237085_10053
1000,aerobe,GCF_000237085_10054
1000,aerobe,GCF_000237085_10055
1000,anaerobe,GCF_000237085_10056
1000,facultative,GCF_000237085_10057
1000,anaerobe,GCF_000237085_10058
1000,anaerobe,GCF_000237085_10059
1000,anaerobe,GCF_000237085_1006
1000,anaerobe,GCF_000237085_10060
1000,anaerobe,GCF_000237085_10061
1000,anaerobe,GCF_000237085_10062
1000,anaerobe,GCF_000237085_10063
1000,anaerobe,GCF_000237085_10064
1000,anaerobe,GCF_000237085_10065
1000,anaerobe,GCF_000237085_10066
1000,anaerobe,GCF_000237085_10067
1000,facultative,GCF_000237085_10068
1000,anaerobe,GCF_000237085_10069
1000,anaerobe,GCF_000237085_1007
1000,anaerobe,GCF_000237085_10070
1000,anaerobe,GCF_000237085_10071
1000,anaerobe,GCF_000237085_10072
1000,anaerobe,GCF_000237085_10073
1000,anaerobe,GCF_000237085_10074
1000,anaerobe,GCF_000237085_10075
1000,anaerobe,GCF_000237085_10076
1000,anaerobe,GCF_000237085_10077
1000,anaerobe,GCF_000237085_10078
1000,anaerobe,GCF_000237085_10079
1000,anaerobe,GCF_000237085_1008
1000,anaerobe,GCF_000237085_10080
1000,anaerobe,GCF_000237085_10081
1000,anaerobe,GCF_000237085_10082
1000,anaerobe,GCF_000237085_10083
1000,anaerobe,GCF_000237085_10084
1000,anaerobe,GCF_000237085_10085
1000,anaerobe,GCF_000237085_10086
1000,anaerobe,GCF_000237085_10087
1000,facultative,GCF_000237085_10088
1000,anaerobe,GCF_000237085_10089
1000,anaerobe,GCF_000237085_1009
1000,anaerobe,GCF_000237085_10090
1000,anaerobe,GCF_000237085_10091
1000,anaerobe,GCF_000237085_10092
1000,anaerobe,GCF_000237085_10093
1000,facultative,GCF_000237085_10094
1000,anaerobe,GCF_000237085_10095
1000,anaerobe,GCF_000237085_10096
1000,anaerobe,GCF_000237085_10097
1000,anaerobe,GCF_000237085_10098
1000,aerobe,GCF_000237085_10099
1000,anaerobe,GCF_000237085_101
1000,anaerobe,GCF_000237085_1010
1000,anaerobe,GCF_000237085_10100
1000,anaerobe,GCF_000237085_10101
1000,aerobe,GCF_000237085_10102
1000,aerobe,GCF_000237085_10103
1000,anaerobe,GCF_000237085_10104
1000,anaerobe,GCF_000237085_10105
1000,anaerobe,GCF_000237085_10106
1000,anaerobe,GCF_000237085_10107
1000,anaerobe,GCF_000237085_10108
1000,anaerobe,GCF_000237085_10109
1000,anaerobe,GCF_000237085_1011
1000,anaerobe,GCF_000237085_10110
1000,anaerobe,GCF_000237085_10111
1000,anaerobe,GCF_000237085_10112
1000,anaerobe,GCF_000237085_10113
1000,anaerobe,GCF_000237085_10114
1000,anaerobe,GCF_000237085_10115
1000,anaerobe,GCF_000237085_10116
1000,anaerobe,GCF_000237085_10117
1000,anaerobe,GCF_000237085_10118
1000,anaerobe,GCF_000237085_10119
1000,anaerobe,GCF_000237085_1012
1000,anaerobe,GCF_000237085_10120
1000,anaerobe,GCF_000237085_10121
1000,anaerobe,GCF_000237085_10122
1000,anaerobe,GCF_000237085_10123
1000,anaerobe,GCF_000237085_10124
1000,anaerobe,GCF_000237085_10125
1000,anaerobe,GCF_000237085_10126
1000,facultative,GCF_000237085_10127
1000,anaerobe,GCF_000237085_10128
1000,anaerobe,GCF_000237085_10129
1000,anaerobe,GCF_000237085_1013
1000,anaerobe,GCF_000237085_10130
1000,anaerobe,GCF_000237085_10131
1000,anaerobe,GCF_000237085_10132
1000,aerobe,GCF_000237085_10133
1000,anaerobe,GCF_000237085_10134
1000,anaerobe,GCF_000237085_10135
1000,anaerobe,GCF_000237085_10136
1000,aerobe,GCF_000237085_10137
1000,anaerobe,GCF_000237085_10138
1000,anaerobe,GCF_000237085_10139
1000,anaerobe,GCF_000237085_1014
1000,anaerobe,GCF_000237085_10140
1000,anaerobe,GCF_000237085_10141
1000,anaerobe,GCF_000237085_10142
1000,anaerobe,GCF_000237085_10143
1000,anaerobe,GCF_000237085_10144
1000,anaerobe,GCF_000237085_10145
1000,anaerobe,GCF_000237085_10146
1000,anaerobe,GCF_000237085_10147
1000,anaerobe,GCF_000237085_10148
1000,anaerobe,GCF_000237085_10149
1000,anaerobe,GCF_000237085_1015
1000,anaerobe,GCF_000237085_10150
1000,anaerobe,GCF_000237085_10151
1000,anaerobe,GCF_000237085_10152
1000,anaerobe,GCF_000237085_10153
1000,anaerobe,GCF_000237085_10154
1000,anaerobe,GCF_000237085_10155
1000,anaerobe,GCF_000237085_10156
1000,anaerobe,GCF_000237085_10157
1000,anaerobe,GCF_000237085_10158
1000,anaerobe,GCF_000237085_10159
1000,anaerobe,GCF_000237085_1016
1000,anaerobe,GCF_000237085_10160
1000,anaerobe,GCF_000237085_10161
1000,anaerobe,GCF_000237085_10162
1000,facultative,GCF_000237085_10163
1000,aerobe,GCF_000237085_10164
1000,anaerobe,GCF_000237085_10165
1000,anaerobe,GCF_000237085_10166
1000,anaerobe,GCF_000237085_10167
1000,anaerobe,GCF_000237085_10168
1000,facultative,GCF_000237085_10169
1000,anaerobe,GCF_000237085_1017
1000,anaerobe,GCF_000237085_10170
1000,anaerobe,GCF_000237085_10171
1000,anaerobe,GCF_000237085_10172
1000,anaerobe,GCF_000237085_10173
1000,anaerobe,GCF_000237085_10174
1000,anaerobe,GCF_000237085_10175
1000,anaerobe,GCF_000237085_10176
1000,anaerobe,GCF_000237085_10177
1000,facultative,GCF_000237085_10178
1000,anaerobe,GCF_000237085_10179
1000,anaerobe,GCF_000237085_1018
1000,anaerobe,GCF_000237085_10180
1000,anaerobe,GCF_000237085_10181
1000,anaerobe,GCF_000237085_10182
1000,anaerobe,GCF_000237085_10183
1000,anaerobe,GCF_000237085_10184
1000,anaerobe,GCF_000237085_10185
1000,anaerobe,GCF_000237085_10186
1000,facultative,GCF_000237085_10187
1000,anaerobe,GCF_000237085_10188
1000,anaerobe,GCF_000237085_10189
1000,anaerobe,GCF_000237085_1019
1000,anaerobe,GCF_000237085_10190
1000,anaerobe,GCF_000237085_10191
1000,anaerobe,GCF_000237085_10192
1000,anaerobe,GCF_000237085_10193
1000,anaerobe,GCF_000237085_10194
1000,anaerobe,GCF_000237085_10195
1000,anaerobe,GCF_000237085_10196
1000,anaerobe,GCF_000237085_10197
1000,aerobe,GCF_000237085_10198
1000,facultative,GCF_000237085_10199
1000,anaerobe,GCF_000237085_102
1000,anaerobe,GCF_000237085_1020
1000,anaerobe,GCF_000237085_10200
1000,anaerobe,GCF_000237085_10201
1000,anaerobe,GCF_000237085_10202
1000,anaerobe,GCF_000237085_10203
1000,anaerobe,GCF_000237085_10204
1000,anaerobe,GCF_000237085_10205
1000,anaerobe,GCF_000237085_10206
1000,facultative,GCF_000237085_10207
1000,anaerobe,GCF_000237085_10208
1000,anaerobe,GCF_000237085_10209
1000,anaerobe,GCF_000237085_1021
